,author,comment,published_at,Number_of_likes
404,@sumitprasa6202,Par ye joote kyu lagwane padenge future me 🥒😂😂,2022-09-18T12:06:35Z,1
405,@Mayur_Bharwad,ambulance be like : what do i do now 😞😂,2022-09-18T11:51:29Z,1
406,@RaMu363,من رعبه يمشون عطرف😂,2022-09-18T09:18:12Z,0
407,@miss.joycelicious4828,Judiciary hgu🚘,2022-09-18T05:44:23Z,0
408,@johnpaulalcana6707,Wow😅😅😅,2022-09-18T04:22:25Z,0
409,@karan9119,Ambulance 🤣🤣,2022-09-17T15:26:58Z,6
410,@justhuman3886,😂😂,2022-09-17T13:15:51Z,0
411,@kibersportsmen-n9o,???,2022-09-17T09:54:43Z,0
412,@navenduacharya1885,Get better vfx,2022-09-17T09:02:26Z,0
413,@Movich_RUS,Да пошла нахуй физика 8-мого и 9-того класса!,2022-09-17T08:55:10Z,0
414,@nappuccino9256,What's the point of that thing?,2022-09-17T07:50:52Z,1
415,@a.khalequekhaleque1402,🤯,2022-09-17T05:38:38Z,0
416,@gto7318,it's already real the government is just hiding this revolutionary technology from us,2022-09-17T04:31:26Z,1
417,@eng393,This not future technology this is future curse,2022-09-17T00:05:02Z,0
418,@quihvanie,😡😡😡😡😡,2022-09-16T23:39:42Z,0
419,@sinandincer8609,Mantıklı fikir,2022-09-16T21:19:17Z,0
420,@hamzatahir3186,My phobia is time,2022-09-16T14:12:52Z,2
421,@kuroto9705,一時停止無視したやつ全部これでいいじゃん,2022-09-16T13:38:37Z,0
422,@BetterMensproject,whats the benifit of having this shit.,2022-09-16T11:57:17Z,0
423,@rubinail,"Jai BJP... 
BJP unte it's possible... 
Jai Modiji...",2022-09-16T08:03:35Z,0
424,@mdkhalid5300,https://youtube.com/shorts/eUtxF8vWI3g?feature=share follower share kar dijiyega bhai sahab follow share kar dijiye 🙏🙏🙏🙏🙏,2022-09-16T07:28:38Z,0
425,@Maximus_Naughtius,"I'm from 2069, and I can confirm that this is true.",2022-09-16T06:32:51Z,10
426,@caulong68,https://youtube.com/channel/UCcD4WeogXDrs7GHXTyr8hZw,2022-09-16T03:49:58Z,0
427,@elman2877,hi,2022-09-16T03:21:48Z,0
428,@srihschannel789,Amazing... Hebat... Luar biasa,2022-09-16T02:42:28Z,0
429,@Editor_aakash_,"https://youtu.be/G9dy8S2wANM
https://youtu.be/qlu1pPdGrZs",2022-09-16T00:00:57Z,0
430,@chica_romantica9517,😂😂🤣,2022-09-15T21:56:03Z,1
431,@JohnDoe-yn7cz,"ANDREW TATE HITS HIS MOM
https://youtu.be/bpmKWMYlXxM",2022-09-15T20:37:12Z,0
432,@thatyoutuber,Why is that even made for,2022-09-15T15:44:58Z,0
433,@thinguyenuc6077,Vô dung,2022-09-15T10:57:37Z,0
434,@My_summer_car_1k,https://youtu.be/5vszlSFpK-Q18+🔞,2022-09-15T09:34:14Z,0
435,@franciscoAlves-jb1bl,m.,2022-09-15T08:41:04Z,0
436,@pankaj_gupta9621,https://youtube.com/shorts/wjORKZILMKA?feature=share,2022-09-15T00:40:21Z,0
437,@aoomaooe,what the hell..,2022-09-14T21:53:22Z,0
438,@janamahmuod1692,٤,2022-09-14T21:41:30Z,0
439,@bloodysadist,I would kill myself rather than live in this future,2022-09-14T13:23:43Z,0
440,@shouryaagarwal3857,"👁     👁
     👄",2022-09-14T08:36:23Z,1
441,@oskan_mystery6697,but no fr in what world would there be 5 feet stomping the ground on the highway?,2022-09-13T18:01:00Z,4
442,@jessysun6730,😈😈😈😈😈😈😈,2022-09-13T05:58:51Z,0
