,author,comment,published_at,Number_of_likes
620,@stephanietorres5679,This one crazy system.,2022-07-20T12:03:49Z,7
621,@baynguyenvan8175,Thiết kế này giống như bị khùng ấy tự nhiên Dùng đèn đỏ không dùng đâu Tự nhiên dùng cái này,2022-07-20T01:06:20Z,4
622,@gamesjourney-p3g,踏み潰せ,2022-07-19T12:42:12Z,0
623,@gamesjourney-p3g,踏み潰せ人言語と,2022-07-19T12:41:58Z,0
624,@gamesjourney-p3g,救急車とうさんでく,2022-07-19T12:41:26Z,0
625,@ビスキーチャンネル活動停止中,車を縦にする謎機能好き,2022-07-18T10:08:14Z,5
626,@김지원-l1l6s,저기게 쓸모업ㄴ어,2022-07-17T13:10:36Z,5
627,@tommydent425,What the f was that,2022-07-17T13:07:54Z,5
628,@moingaychonmotniemvuict6128,👍 like + sub,2022-07-16T20:53:47Z,0
629,@xakasherifi7451,Is feake,2022-07-16T20:10:51Z,0
630,@rikeshkumar2573,1122,2022-07-16T04:28:53Z,1
631,@Do-uz4zq,https://youtube.com/shorts/KXeRtZBDjpw?feature=share,2022-07-16T01:35:00Z,0
632,@CarLos-lp8tj,https://youtube.com/shorts/o_KaJMFX1a4?feature=share,2022-07-15T22:50:53Z,0
633,@Cellie_flower,Editan 😏😏😏😏😏,2022-07-15T12:58:48Z,3
634,@nisayoyoy,±<({}++++----&&&&&&&&':::::;;;;;;;;;;;.   ..,2022-07-15T11:32:46Z,0
635,@AhmetYlmaz-ym5nb,👍💯,2022-07-15T10:49:32Z,0
636,@akaiknyk8988,Call khaby lame,2022-07-15T09:55:57Z,4
637,@maecellovebalabat9756,👍,2022-07-15T06:37:04Z,1
638,@micheldice7805,Mèsi anpil,2022-07-14T21:59:13Z,2
639,@AlCrEmIe.EdItZ.,Ambulance: HEY THIS IS AN EMERGENCY THERE'S a LADY GOING INTO LABOR,2022-07-14T21:50:41Z,2
640,@hedgyhogster8309,What,2022-07-14T15:11:38Z,1
641,@hadanh3954,•_•,2022-07-14T13:52:34Z,0
642,@Khaled_AbdelRazeq_GM,"Good effort but It's better to jump over bridge 😁 🙄🤯
Btw, I begin to make simple 2d animation  👇
https://youtube.com/shorts/w6EuGt6Wepo?feature=share
What about your comments on my work?🤔",2022-07-14T12:52:34Z,0
643,@mukeshthakor9467,900gdxghhxdghgdfhghjgghkccv,2022-07-14T09:25:09Z,0
644,@tacticaldroidgaming5952,This technology is bullshitt,2022-07-14T09:13:28Z,0
645,@jumpjump-oz2pr,What 2 d?,2022-07-14T04:54:04Z,3
646,@ismailuzun5268,Thats to idiot,2022-07-13T15:33:24Z,0
647,@maripol7074,Is stupid invention,2022-07-13T12:43:29Z,0
648,@merryyana5987,I hate Chinese,2022-07-13T05:47:54Z,0
649,@green_rr1722,Cgi lol,2022-07-12T23:02:25Z,1
650,@sideeksidee7871,Nice,2022-07-12T16:35:26Z,0
651,@fadilfauzi9420,🤩,2022-07-12T12:11:58Z,2
652,@hopefuntv4591,Nice,2022-07-12T07:13:03Z,1
653,@crepper1323_new,"ACCOUNTMENT: This Video 7,2 Millon dislikes real",2022-07-11T10:58:19Z,0
654,@gijoe6075,Wtf would you need that in the world like who makes the dum stuff,2022-07-10T17:23:43Z,0
655,@cathlynagag6350,Hahahaha,2022-07-10T06:21:39Z,1
656,@rati864,cewek cantik LG sendirian nih😆 https://youtu.be/q8eFKzzrsrM,2022-07-09T18:12:38Z,0
657,@레고마을게임새상,사람죽을일잇나?왜구급차를안보내줘,2022-07-09T13:36:52Z,13
658,@Mirhaknowledge,What is this,2022-07-09T06:19:39Z,1
659,@Nguyenphuong85yt,Ghép fake,2022-07-09T05:37:19Z,0
660,@dipvolgs6206,Kesa video,2022-07-08T07:29:53Z,1
661,@수정이-q6n,차가 대단하네,2022-07-08T02:32:51Z,0
662,@tokwanlong6825,仆街,2022-07-07T11:41:47Z,3
663,@nugget478_,Wtf Why this 💀,2022-07-07T02:20:46Z,3
664,@Jordanvixity,why is this so true tho,2022-07-06T16:44:56Z,0
665,@VanTran-tw1fk,Xe cứu thương phải nhương chưd thế nayg ko đuocj,2022-07-06T06:03:26Z,0
666,@saitkumer1006,Hi,2022-07-05T14:56:21Z,2
667,@kolejowyjanek2681,Bruh,2022-07-05T06:07:22Z,4
668,@barcodereader,Bollywood lore,2022-07-04T13:53:18Z,0
669,@대복박-f3l,"🦝🦝🦝🦝🦝
대한민국🇰🇷축구협회⚽️회장 정몽규🧒 HDC현대산업개발IPARK 정몽규🧒
부천약대주공 재건축 40개 동 조합원 1034세대 추가부담금 1368억 발생시킴 왜 1368억이 발생 된건지 근거를 제시해봐?
단지 내 설계대로 공사를 안해 도로폭이 좁아져 준공과 등기가 늦게나며 조합원께 어마 어마한 피해를 입혔고 정몽규🧒가 아파트 단지 내 땅 파놓고 추가부담금 올려 달라고 1년간 공사를 중단해 빗물이 고인 곳에 소중한 아이들 2명 씩이나 빠져 사망케 했으니 살인죄 맞지요?
아울러 HDC현산IPARK 정몽규🧒는 약대주공 1기 조합장 과 확정지분제 계약을 했고,
상황이 불리 해지자 도급제로 변경시키기 위하여 1기 조합장 놈과 도급제 변경총회를 열어 부결이 되자,
총회를 반복해서 열어 통과 시키는 이런 악날하고 추악한 갑질이 세상에 또 있을까요?
현대산업개발 과 약대주공 간에 확정지분제 계약을 했음에도 이런 나쁜 짓을한 정몽규🧒는 계약위반 맞지요?
해서 1기 조합장 놈을 해임 시키고,
저는 2기 조합장 때부터 조합사무실을 자주 찾아가 조합을 지키며 감시를 했건만 역시나 믿었던 2기 조합장 놈도 조합원을 배신하고 현대산업개발 정몽규🧒편에 서는 바람에 해임 시키고,
저는 3기 조합장 으로 새로운 출발을 하였습니다,
시공사 HDC현산IPARK 정몽규🧒와 결탁 없이 오로지 내 재산과 조합원님 재산을 위하여 한눈팔지 않고 이정주 변호사 와 함께 조합을 위해 최선의 노력을 했습니다, 아울러 고등법원에서 조합에게 승소 시켜준 이동원 판사님은 현재 대법원에 정의 의 대법관 이십니다, 이동원 대법관님을 존경하며 사랑합니다, 당신은 대법원장 자격을 갔추었음,
제가 3기 조합장이 되었지만 현산 정몽규🧒는 현산 갑질에 협조를 안할게 뻔해서 그런지 정몽규🧒가 조합에 보낼 자금을 보내줘야 조합 운영을 할수가 있는데,
정몽규🧒가 조합에 보낼돈을 보내지 않고 돈줄을 막았으니 이건 식물 조합을 만들려고 작정 한것이 분명하지요?
추악한 정몽규🧒가 조합에 보낼 자금을 보내지 않자 조합원님들 께서 스스로 기금을 모아서 조합사무실 운영을 했습니다,
HDC현산IPARK 정몽규🧒 이러한 행태를 보아 악날한 사람이 맞지요?
저를 비롯해 임원들 모두가 용산역 HDC현대산업개발IPARK 정몽규🧒 본사를 찾아 갔지만 문턱도 넘어보지 못하고 돌아섰을때 조합원을 대표해서 찾아간 임원 모두가 무시를 당했다는건 조합원을 무시한게 맞지요?
축구협회 회장 정몽규🧒
HDC현산IPARK 정몽규🧒 갑질 때문에 저는 오늘도 전국 재건축 재개발 리모델링 하시는조합원님께 약대주공 같은 피해를 널리 알리고, 피해를 막고자 아깝고 소중한 시간을 쪼개서 댓글을 올려봅니다,
혹여 HDC현대산업개발IPARK 재건축 재개발 리모델링 경쟁 하는곳 아시면 정보 부탁합니다,
긴글 읽어 주셔서 감사하고 사랑합니다 파이팅 💖,
< 네이버 블로그, daebok5812 검색 🙆‍♂️ > 

약대주공 3번째 조합장 박대복 

HDC현대산업개발IPARK 광주학동 철거 붕괴로 9명사망 8명중상, 이후 7개월 사이죠? 광주화정동 아이파크 붕괴로 6명 사망, 이정도면 사람 죽이는 살인기업 맞지요?
https://youtu.be/ukn1TB81r9M


재건축 재개발 리모델링 조합원님 영상을 보시고 참고하실거죠? 죽음으로 갈수도 있겠지요?
https://youtu.be/M5PWHjZSUjc


썩어빠진 판결 하기보다 공정한 판결을 요구하는 약대주공 삭발식
https://youtu.be/ahThs_TBlaQ 

HDC현대산업개발IPARK 정몽규🧒 약대주공 조합원께 피해를 보상하고 사죄하라, 그래야 사람맞지?",2022-07-04T05:28:42Z,0
670,@gaddalakiranmai2943,Why is this even needed,2022-07-04T03:17:13Z,3
671,@HaiNguyen-ki7tu,o==[]::::::::::::::::>⌐╦╦═─▄︻̷̿┻̿═━一,2022-07-03T13:44:22Z,0
672,@hothithuykieu4959,🌹🌹🌹🌹🌹,2022-07-03T08:07:02Z,1
673,@phindilemlaba4232,Amanga amangaka,2022-07-01T09:25:41Z,1
674,@albertl944,bchu,2022-07-01T00:32:45Z,1
675,@dongphucbalonanufa,Xe siêu đỉnh,2022-06-30T17:04:21Z,5
676,@panchramnetam9293,एम्बुलेश के लिए कोई ट्रैफिक नई रहता,2022-06-27T08:35:52Z,2
677,@sisik8730,Stupid scene,2022-06-27T06:42:42Z,0
678,@ashikk4598,ഊമ്പിക്കൊ പൂറന്മാരെ 😁,2022-06-26T15:55:04Z,0
679,@wittayaf4718,🤔🤫😱😏,2022-06-26T07:35:51Z,4
680,@tundeadeyi1939,Cool,2022-06-25T14:03:48Z,0
681,@ONEDILL,"중국 민주화를 지지한단 메세지 잘 봤어. 지금 메세지는 다른 영상으로 해독해, 민주주의의 희망을 빌게,
공안의 추적때문에 다른 기기들은 파기하는게 좋을거야",2022-06-25T11:13:24Z,7
682,@minhhiennguyen674,cấp cứu đéo cho qua là sao,2022-06-25T09:46:20Z,0
683,@tomaliothetomato439,No,2022-06-25T05:27:50Z,0
684,@dilnozasaidova1619,👎👎👎,2022-06-25T04:13:09Z,1
685,@hiranmayeedash5625,What is this,2022-06-25T03:48:45Z,1
686,@viralvideo6295,Q,2022-06-25T00:51:55Z,0
687,@claudioarmanini6993,Fate eccezione per ambulanza please...,2022-06-25T00:31:11Z,2
688,@ศักดิ์ชัยงามแสง-ท8ซ,ปัญญาอ่อน,2022-06-25T00:13:09Z,0
689,@John168,无聊,2022-06-24T11:14:38Z,10
690,@nazrulislamakib4414,"FIFA Qatar World Cup Song 2022
https://youtu.be/XW-x2mAjH1g",2022-06-24T09:40:37Z,0
691,@mhajamokithan3588,Useless,2022-06-24T08:42:55Z,0
692,@quango4292,dm ghép ảnh,2022-06-24T07:51:30Z,0
693,@CITYPULS,https://youtu.be/EgVHRiPCrxo,2022-06-24T06:20:40Z,0
694,@indianintertaining6507,"👍👍👌best, 
I subscribe u",2022-06-24T05:22:53Z,2
695,@nr7status226,https://youtube.com/shorts/NWihUubOnBw?feature=share,2022-06-24T03:04:01Z,0
696,@cameliahorodnic3947,Pericol social !!!bună treabă!!!👍👍👍,2022-06-23T20:41:41Z,2
697,@dodododod666,😑,2022-06-23T16:30:33Z,1
698,@queenbeauty6170,What's the use of that?,2022-06-23T14:12:59Z,0
699,@madhusudana.smathematicste981,Not useful,2022-06-23T12:44:50Z,0
700,@tiktok24h16,👍,2022-06-23T09:38:20Z,1
701,@vamsivamsi3277,"Aumblance v
Leave uselas",2022-06-23T04:43:49Z,1
702,@grimanezacarvajal8065,o0pñ6h,2022-06-22T21:57:14Z,0
703,@grimanezacarvajal8065,y,2022-06-22T21:56:04Z,0
704,@tatianad4401,Супер !,2022-06-22T12:27:24Z,1
705,@ngocminh6376,ko hiêu,2022-06-22T11:38:29Z,1
706,@tausiefkhan6526,Desh per Marne se achcha hai pahle ma bap bhai bhan aur aane wali zindagi k liye maro kya danga macha rakhha hai kisi aur desh me itne yuva hote to aaj pata nai wo desh kaha se kaha per hota aur ye budhhe sankeer mansikta wale log jo satta per kabiz hai wo desh k logo ko noch gahsot rahe wo bhi mandir masjid k chakkar me phansa ker kabhi koi neta ka londa nai dekha hum k army me gya ho ager gya bhi hoga to janral karnnal rank per gareeb paida hi gandmarane k liye hota hai,2022-06-22T05:57:26Z,0
707,@khanhvu5531,Hay,2022-06-21T14:44:10Z,0
708,@shireeram2750,Very smart,2022-06-21T14:26:58Z,3
709,@황경자-b8g,ㅎㅎ   잘가다가  왜  옅으로  가지   너  때문에   엠블럼 스차도오고  에효 참,2022-06-21T13:53:24Z,4
710,@Hand-455,👏👍👍👍👍,2022-06-21T07:32:09Z,0
711,@LQg3355,Zhang🐕들의 허풍 영상,2022-06-21T07:23:16Z,0
712,@吉祥富貴-b6y,幼痔,2022-06-21T06:30:10Z,2
713,@denislamalice425,Non ça veut dire Levé le pied !!! ( ralentit ),2022-06-20T18:22:41Z,0
714,@kuttyharshasai2454,This is game 🎮,2022-06-20T14:33:01Z,0
715,@simonkin1230,😍😘,2022-06-20T13:35:49Z,0
716,@CHUNGHA-AZ,지랄한다 ㅋㅋㅋㅋ,2022-06-19T14:55:36Z,0
717,@qtr01122,china,2022-06-19T04:32:16Z,0
718,@jbchandigarhia8679,No,2022-06-19T04:16:16Z,0
719,@A.a-yes,나는 보았다 가짜라는 걸 알았다,2022-06-19T03:13:50Z,0
720,@musabin910,😂😂😂😂😂,2022-06-19T01:28:32Z,1
721,@maks-y3o6y,Хорошая графика,2022-06-18T11:21:26Z,0
722,@dilshaddilshad620,Kamala yaar Kamal yaar,2022-06-18T09:37:57Z,1
723,@kolyaxazratkulov391,Daxshat ekan,2022-06-18T08:09:30Z,1
724,@nannsjnsnajsnen5000,Nó hơi bị nfu,2022-06-18T07:34:08Z,2
725,@蕭該得-d7m,無可能的事太誇大了！,2022-06-18T01:00:06Z,0
726,@dagmaramajewska9718,I'm Ilon  mask,2022-06-17T20:21:17Z,0
727,@Nezrin905,FAKE,2022-06-17T11:25:35Z,0
728,@mariasalassalas3148,Ok,2022-06-16T15:30:30Z,9
729,@riyabramhane3355,Fakeeewe,2022-06-16T09:38:58Z,0
730,@moacirluizdarosarosa6997,👎Cinza idiota👍,2022-06-15T21:25:05Z,0
731,@Nagavinayking6234,🤣🤣🤣🤣🤣😂😂😂,2022-06-15T17:28:23Z,3
732,@Nagavinayking6234,😂😂😂😂😂,2022-06-15T17:28:02Z,4
733,@gopalmahanand9497,Magiha,2022-06-15T15:47:00Z,1
734,@user-nintedaddy,210k foolish mfs 😒,2022-06-15T13:07:28Z,0
735,@Herscher-ReideL,ambulance💀,2022-06-15T10:55:37Z,0
736,@BirdsGUYY,LOL,2022-06-15T04:45:22Z,0
737,@احمدالوحكع,💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💔💔💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💔💗💗💗💗💗💗💗💗,2022-06-15T04:39:52Z,0
738,@احمدالوحكع,ردان,2022-06-15T04:38:40Z,0
739,@احمدالوحكع,ابو,2022-06-15T04:37:59Z,0
740,@احمدالوحكع,😭😭😭😭😭😭,2022-06-15T04:37:47Z,2
741,@szilardpinter1348,Ez aztán a technológia egy két keréken guruló bmw el mehet de egy szirénázó mentő nem 🤔,2022-06-14T20:23:26Z,0
742,@wentorgxmuffin6250,FUUUUCKK!!!!!!,2022-06-14T17:05:56Z,1
743,@viktormilutinovic221,FAKE,2022-06-14T16:13:19Z,0
744,@alanoodalmarri9306,😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮‍💨😮‍💨😮‍💨,2022-06-14T12:06:00Z,0
745,@ISERUS,This is the best 2d future prediction,2022-06-14T06:30:28Z,2
746,@hajkova5444,It's bad,2022-06-13T17:40:26Z,0
747,@nicoletapetcu7622,Thats cap i can Tell is cap unlike,2022-06-13T16:45:36Z,1
748,@maxinebriggs3504,G xhzfgjtfuxfhf,2022-06-13T16:15:51Z,0
749,@pefg9979,👞👞👞👞👞,2022-06-13T16:06:02Z,0
750,@suchitravasanthakumar2554,Enga amma appa amma appa amma,2022-06-13T15:26:20Z,1
751,@bddtvnewsmdceo378,https://youtu.be/7Ss701sxucUq,2022-06-13T12:37:11Z,0
752,@shailjagaur4714,Well that’s stupid 🙄,2022-06-13T11:47:56Z,9
753,@zainbzainb8694,ي,2022-06-13T11:09:58Z,1
754,@RohitKumar-nq9zw,Ohggf and,2022-06-13T04:26:41Z,0
755,@mahseen467,‚,2022-06-13T01:52:30Z,3
756,@natalkapyrek8506,Kłamstwo,2022-06-12T19:30:48Z,0
757,@inusharayala3207,No,2022-06-12T16:36:03Z,0
758,@daiaraguirado4174,☹️🤕🤒🤒,2022-06-12T12:56:06Z,2
759,@binhduong1712,🍗🌶🌽🍇,2022-06-12T10:34:26Z,1
760,@UkuTt,Zort,2022-06-12T07:02:07Z,2
761,@рперооппрон,У нас и без такой херни гоняют на двух колесах,2022-06-12T06:08:11Z,6
762,@게임만찍는뮤츠,Do you change between an ambulance and a car?,2022-06-12T05:44:40Z,9
763,@tamillamamedova2814,🤣,2022-06-11T19:35:29Z,3
764,@tamillamamedova2814,Napim,2022-06-11T19:35:20Z,0
765,@petrpavelka6431,To by nikdo nikam nedojel,2022-06-11T19:12:16Z,0
766,@redmibeshpuls310,-F,2022-06-11T16:56:55Z,2
767,@mlmdesysheh9197,098754,2022-06-11T05:58:54Z,0
768,@ainadycastaneda6446,💀uh 💀,2022-06-11T02:13:43Z,1
769,@whatareyouwatching5943,Goofy ahh👽,2022-06-10T23:54:23Z,2
770,@本田りほんたり,これにほんにもおたらいいな😀🙂🌶️,2022-06-10T22:36:55Z,1
771,@evicka_1282,Ahoj,2022-06-10T18:30:45Z,0
772,@mirandahullie,ßđoį²⅖⁴⁶⁹⁰ⁿ11ýů,2022-06-10T17:17:57Z,0
773,@hridjdjr7638,Çoook saçma ezilire ezilsin🧐,2022-06-10T17:07:21Z,2
774,@rohotoynematova56,😂🤣,2022-06-10T12:00:43Z,0
775,@michael_fiotakis8983,"These videos man, are so stupid 💀",2022-06-10T10:10:20Z,0
776,@enricoguarnieri8709,Play station 5,2022-06-10T07:34:20Z,0
777,@vuphan8058,😡😡😡😡😡😡😡😡😡😡😡😡😡😡,2022-06-10T06:40:07Z,1
778,@alfanajibiapriansyah6464,BABI,2022-06-10T05:25:17Z,0
779,@zerosugar7384,이게 뭐야,2022-06-10T04:42:47Z,10
780,@luongvuanh3793,fake....,2022-06-10T03:08:00Z,0
781,@cricket9371,The person in the ambulance probably died just because of that useless thing!,2022-06-09T21:02:34Z,11
782,@guncellekendini9428,Ambulans önündeki nasıl geçti,2022-06-09T20:32:40Z,1
783,@abrornurmatov4846,Джамщыты,2022-06-09T19:17:35Z,6
784,@wotb.exe..5480,BMW проехал а Mercedes нет,2022-06-09T18:13:45Z,0
785,@mclee981,Just china 🤮🤮,2022-06-09T17:28:56Z,0
786,@AverageAyinEnjoyer,Useless.,2022-06-09T17:14:44Z,7
787,@ak_technical1156,Achhi ninga technical hai,2022-06-09T16:41:16Z,2
788,@kzre7663,What is it?,2022-06-09T16:32:35Z,0
789,@amberheardsdog,Why the hell is everyone saying “fake” ? It says ANIMATION in the title smh.,2022-06-09T16:31:47Z,7
790,@siratali,ما الفائدة من هذا الفيديو,2022-06-09T12:57:56Z,4
791,@sus-uh1ft,This is the most ridiculous thing for 2050,2022-06-09T12:03:09Z,9
792,@이우혁-z8i,Xi JinPig🐷,2022-06-09T11:50:30Z,0
793,@everytingspeakertester8045,ITS A FUCKING CONCEPT,2022-06-09T11:18:03Z,0
794,@adaw2655,Fake xd,2022-06-09T11:12:22Z,1
795,@Lukyyyz,FAKE!!!!,2022-06-09T11:02:23Z,0
796,@thiennhanle1596,Fake,2022-06-09T10:33:34Z,0
797,@anitaprajapat4381,Why would future have hydralic shoes mf,2022-06-09T10:12:45Z,0
798,@boscosmos8430,Fake,2022-06-09T09:31:59Z,0
799,@someone89011,bad,2022-06-09T07:58:23Z,0
800,@mrsirmnzz5375,this is so useless,2022-06-09T06:26:57Z,0
801,@einotiitinen8068,Yeas,2022-06-09T06:11:26Z,0
802,@pablo-lm2tu,Look stupid,2022-06-09T05:51:37Z,0
803,@brick_head99,Worst fake future technology,2022-06-09T05:50:43Z,31
804,@g.bparmar4961,Fake👎👎👎👎,2022-06-09T05:45:54Z,2
805,@adamimran470,fake,2022-06-09T05:31:01Z,4
806,@CurioXploress,Fk fk fk fk fk fk,2022-06-09T04:19:58Z,0
807,@mundoojô,Kkkkkk,2022-06-08T20:01:36Z,1
808,@bffnf9079,Wtf,2022-06-08T15:51:21Z,0
809,@ธีรศักดิ์ไชยสมคุณ,ลล,2022-06-08T12:54:06Z,0
810,@jeanannebernabe5527,Boysict na daanan yang,2022-06-08T10:23:52Z,0
811,@ulakaulaka5717,suuuuuus,2022-06-08T09:48:27Z,0
812,@cristianmarcelpetre8764,Cececececece,2022-06-08T05:48:58Z,1
813,@_Challenger_NA,esa mamda q,2022-06-07T21:40:50Z,4
814,@alessandra8873,Fake,2022-06-07T20:38:08Z,7
815,@Hold_me_forever,Wtf wtf wtf wtf wtf?????,2022-06-07T20:02:43Z,17
816,@소라-t8g,"중국은 국민들의 생명을 담보로한 시간보다 돈을 가진 부자의 시간을 소중히한다.
이게 이 영상의 진실이다.
정신차리고 독립하라
자유는 매우 많은 피와 값비싼 돈으로 이루어진다.",2022-06-07T19:39:33Z,11
817,@abrornurmatov4846,Джамщыты,2022-06-07T19:35:24Z,1
818,@balaicrishnandhasarathan9229,🌈Tesla ❤️நீ ?/ பா trillionare என்னென்ன கூத்து வேணாலும் 💞 பண்ணுவ,2022-06-07T19:18:52Z,3
819,@prateekbose9564,Future technology is to stop an ambulance and let the patient die. Future is in great danger.,2022-06-07T15:50:28Z,0
820,@myduyentv4302,Nói tiếng,2022-06-07T15:13:43Z,2
821,@yogendrapalsingh1724,",,,🍅🌶🥚",2022-06-07T03:17:37Z,5
822,@yogendrapalsingh1724,🌶yuioppw,2022-06-07T03:17:06Z,0
823,@loredanaglajar1493,Salvarea nu mai trece,2022-06-06T16:34:29Z,9
824,@DomiGaming3,Wtf,2022-06-06T14:54:17Z,0
825,@ЕкатеринаГригорьева-д2т,Э,2022-06-06T13:49:06Z,1
826,@زيادالعلي-ج4ش,it has a.,2022-06-06T12:05:18Z,0
827,@LinhNguyen-kf3rw,7,2022-06-06T09:13:46Z,1
828,@TuyenNguyen-mm6wt,🤬🤬🤬🤬,2022-06-06T05:39:37Z,16
829,@marlonbagayawa7477,this is fake this is not real 😒,2022-06-06T02:31:21Z,3
830,@heyrantal6618,Efe,2022-06-05T13:40:02Z,7
831,@СергейКоньшин-л1ь,Бен машина нанана,2022-06-05T10:31:37Z,1
832,@chanseladoung9434,Crazy 😡😡,2022-06-05T00:28:34Z,5
833,@陳俊杰-g3s,Fake video is bored,2022-06-04T09:46:40Z,2
834,@ngonguyen1304,Ác,2022-06-03T09:09:40Z,10
